,RA,DEC,QUICK_OBJECT_ID,MAG_AUTO_G,MAGERR_AUTO_G,MAG_AUTO_R,MAGERR_AUTO_R,MAG_AUTO_I,MAGERR_AUTO_I,MAG_AUTO_Z,MAGERR_AUTO_Z,Z,MAG_AUTO_G-MAG_AUTO_R,MAG_AUTO_G-MAG_AUTO_I,MAG_AUTO_G-MAG_AUTO_Z,MAG_AUTO_R-MAG_AUTO_I,MAG_AUTO_R-MAG_AUTO_Z,MAG_AUTO_I-MAG_AUTO_Z
24,349.4968338369114,20.539794092687444,10402800051697,21.670135,0.04098971,21.576712,0.07303259,99.0,99.0,20.999712,0.094496414,0.867126,0.09342384,-77.329865,0.6704235,-77.42329,0.57699966,78.00029
27,349.3304334057016,19.998854774776518,10402800081905,18.50685,0.0066775945,17.223177,0.0051994887,99.0,99.0,16.503046,0.0051780785,0.2032,1.2836723,-80.49315,2.0038033,-81.776825,0.7201309,82.496956
103,350.04443001651526,20.756006253983855,10402800043363,22.401508,0.11697156,20.217657,0.047762003,99.0,99.0,19.268326,0.035362687,0.611755,2.1838512,-76.598495,3.1331825,-78.78234,0.9493313,79.731674
115,348.53096382820524,19.740851731890942,10402800042638,20.75842,0.04062533,19.013803,0.014338662,99.0,99.0,18.033825,0.0141783375,0.401064,1.7446175,-78.24158,2.724596,-79.9862,0.97997856,80.96617
251,348.3669251050711,21.661610432558405,10402800006740,17.082201,0.004228295,99.0,99.0,99.0,99.0,99.0,99.0,0.0377703,-81.9178,-81.9178,-81.9178,0.0,0.0,0.0
277,349.17526277540594,20.696291183874294,10402800049291,22.385918,0.09698222,20.472542,0.039655395,99.0,99.0,19.439722,0.03129635,0.480659,1.9133759,-76.61408,2.9461956,-78.52746,1.0328197,79.56028
281,348.7995886766646,19.797818665961742,10402800059617,22.268703,0.060521197,20.409729,0.03085749,99.0,99.0,19.31778,0.02883414,0.521998,1.8589745,-76.73129,2.950924,-78.59027,1.0919495,79.68222
294,347.9750058622786,20.86089160614324,10402800113893,17.00122,0.002563984,16.167175,0.0019177467,99.0,99.0,15.548954,0.001863445,0.0766009,0.8340454,-81.99878,1.4522667,-82.832825,0.6182213,83.45105
300,348.39805143250305,20.266564246640854,10402800119303,22.460367,0.09378485,21.575766,0.08044289,99.0,99.0,20.449814,0.0614514,0.912094,0.8846016,-76.539635,2.0105534,-77.42423,1.1259518,78.550186
301,349.3553634268062,20.867759865567265,10402800073425,18.094446,0.0060894648,16.87872,0.0042629456,99.0,99.0,16.205618,0.0051692184,0.187602,1.2157269,-80.905556,1.8888283,-82.12128,0.6731014,82.79438
315,348.420619088556,20.12429084041851,10402800056114,21.57338,0.060012598,20.727552,0.039375093,99.0,99.0,19.413475,0.023824872,0.805311,0.8458271,-77.42662,2.1599045,-78.272446,1.3140774,79.586525
321,348.7490531618667,21.769849735965693,10402800082808,22.017635,0.09764693,20.42622,0.034400344,99.0,99.0,99.0,99.0,0.767084,1.5914154,-76.98236,-76.98236,-78.57378,-78.57378,0.0
344,348.74219456366853,20.55235751230414,10402800050889,19.983778,0.022391543,18.586256,0.01101085,99.0,99.0,17.779718,0.009488823,0.331185,1.397522,-79.01622,2.2040596,-80.41374,0.8065376,81.22028
409,348.28759242155,21.5958426612205,10402800097711,21.932081,0.09060044,21.12829,0.06159512,99.0,99.0,20.417519,0.06558676,0.712469,0.80379105,-77.06792,1.5145626,-77.87171,0.71077156,78.58248
484,348.3796823367509,21.43194611373282,10402800061572,19.668575,0.021484073,18.207024,0.00995371,99.0,99.0,17.394547,0.00908605,0.291671,1.4615517,-79.33142,2.2740288,-80.79298,0.8124771,81.60545
492,349.9528680705668,20.840738231879598,10402800073877,22.0615,0.08849857,20.126642,0.0410015,99.0,99.0,18.60193,0.021255972,0.656747,1.9348583,-76.9385,3.45957,-78.87336,1.5247116,80.39807
499,349.1428986305632,21.39509151156821,10402800013648,22.317896,0.10589444,20.43972,0.03979754,99.0,99.0,19.381813,0.031202042,0.55896,1.8781757,-76.682106,2.9360828,-78.56028,1.0579071,79.61819
508,348.9998380428521,21.112730999524615,10402800046727,17.570644,0.004591475,16.542131,0.0026637975,99.0,99.0,15.901786,0.0030414832,0.143612,1.028513,-81.42935,1.6688585,-82.45787,0.6403456,83.09821
545,348.21863231572263,21.022909088153725,10402800041756,19.702929,0.017434979,18.206898,0.009377183,99.0,99.0,17.472622,0.0074383486,0.365951,1.4960308,-79.29707,2.2303066,-80.793106,0.7342758,81.527374
