,RA,DEC,QUICK_OBJECT_ID,MAG_AUTO_G,MAGERR_AUTO_G,MAG_AUTO_R,MAGERR_AUTO_R,MAG_AUTO_I,MAGERR_AUTO_I,MAG_AUTO_Z,MAGERR_AUTO_Z,Z,MAG_AUTO_G-MAG_AUTO_R,MAG_AUTO_G-MAG_AUTO_I,MAG_AUTO_G-MAG_AUTO_Z,MAG_AUTO_R-MAG_AUTO_I,MAG_AUTO_R-MAG_AUTO_Z,MAG_AUTO_I-MAG_AUTO_Z
0,348.89416594050937,20.197499367150783,10402800005287,20.881002,0.040685024,19.103413,0.015792958,99.0,99.0,18.180386,0.018203428,0.44061,1.7775898,-78.118996,2.7006168,-79.89659,0.92302704,80.81961
2,348.6974236393528,19.632812729131757,10402800002966,20.414228,0.039001346,19.082596,0.020306185,99.0,99.0,99.0,99.0,0.299671,1.3316326,-78.58577,-78.58577,-79.917404,-79.917404,0.0
3,348.8375381644247,19.746707608282435,10402800003046,22.424812,0.09906913,20.58066,0.042989124,99.0,99.0,19.516575,0.03178602,0.523908,1.8441525,-76.57519,2.9082375,-78.41934,1.064085,79.48343
4,349.0574710147665,21.72897410851793,10402800040459,21.189981,0.06548739,19.383112,0.01924901,99.0,99.0,18.512737,0.017848685,0.413986,1.8068695,-77.81002,2.6772442,-79.61689,0.8703747,80.48726
5,348.67345752202505,20.540171176006226,10402800050771,21.338696,0.058815338,19.541855,0.02740988,99.0,99.0,18.371214,0.018057058,0.518096,1.7968407,-77.6613,2.9674816,-79.458145,1.170641,80.628784
6,349.1683762092388,21.31407684814279,10402800009236,21.876106,0.06086123,20.972254,0.037412327,99.0,99.0,20.1026,0.04918878,0.747466,0.90385246,-77.12389,1.7735062,-78.02775,0.8696537,78.8974
8,348.5129125170117,19.75714030977153,10402800031507,21.982052,0.09314032,19.836613,0.029841313,99.0,99.0,18.56523,0.020362543,0.578305,2.1454391,-77.017944,3.4168224,-79.16339,1.2713833,80.43477
9,348.09681344869927,20.74877194951972,10402800090556,19.188057,0.014918984,17.583706,0.006912242,99.0,99.0,16.75773,0.0062439805,0.283372,1.604351,-79.81194,2.4303265,-81.41629,0.8259754,82.24227
10,348.5586044368396,20.629540857793316,10402800050659,22.30553,0.11451235,20.633188,0.054884452,99.0,99.0,19.1418,0.025801484,0.676789,1.6723423,-76.69447,3.1637306,-78.36681,1.4913883,79.8582
11,349.99835872990604,20.708803288841636,10402800043340,19.095608,0.010626924,17.664125,0.0065320735,99.0,99.0,16.964523,0.007373213,0.241458,1.4314823,-79.90439,2.1310844,-81.33588,0.6996021,82.03548
12,348.90970471607676,21.09619348213151,10402800086114,20.12485,0.02956522,18.44484,0.01031898,99.0,99.0,99.0,99.0,0.316427,1.6800098,-78.87515,-78.87515,-80.55516,-80.55516,0.0
13,349.6570009089943,21.03105238189687,10402800047054,22.095924,0.071045354,20.405487,0.035925917,99.0,99.0,19.02686,0.021285985,0.608497,1.6904373,-76.904076,3.069065,-78.59451,1.3786278,79.973145
14,349.56432188282383,20.886085035849405,10402800048231,21.574192,0.066304736,19.831732,0.029689383,99.0,99.0,18.837114,0.024089517,0.514884,1.7424603,-77.42581,2.7370777,-79.16827,0.99461746,80.16289
16,348.75166567690866,19.921245133017663,10402800002656,21.572575,0.0670881,19.995094,0.027476087,99.0,99.0,18.903555,0.023966061,0.439443,1.5774803,-77.42743,2.6690197,-79.004906,1.0915394,80.09644
17,348.3058845972245,21.286165627092387,10402800014059,19.33208,0.01669893,18.011108,0.008049058,99.0,99.0,17.238596,0.0075281546,0.24859,1.3209724,-79.66792,2.0934849,-80.98889,0.77251244,81.761406
19,348.50416222537683,21.25172520713255,10402800123397,21.28154,0.060392465,20.298403,0.03666481,99.0,99.0,19.62981,0.034500252,0.251491,0.98313713,-77.71846,1.6517296,-78.7016,0.66859245,79.37019
20,348.1651950483364,20.649230700693366,10402800044806,22.014505,0.084862046,19.925276,0.030408043,99.0,99.0,18.719532,0.017115656,0.523621,2.0892296,-76.9855,3.2949734,-79.07472,1.2057438,80.28047
21,349.0130160128053,21.727069219127756,10402800040464,18.339888,0.00764721,17.164177,0.0037951753,99.0,99.0,16.484968,0.0041997987,0.185806,1.1757107,-80.66011,1.8549194,-81.83582,0.67920876,82.51503
22,349.0912400734542,20.707040457801554,10402800003823,22.273537,0.11856445,20.719038,0.06799972,99.0,99.0,19.793644,0.05120662,0.421542,1.5544987,-76.72646,2.4798927,-78.28096,0.92539406,79.20636
23,348.622965416735,21.085633949668562,10402800088319,19.418865,0.018375417,17.941393,0.008352772,99.0,99.0,17.204382,0.00799808,0.290622,1.4774723,-79.58113,2.2144833,-81.05861,0.73701096,81.795616
25,347.6991299232126,20.606550162430324,10402800001290,21.594236,0.06753713,19.788574,0.024295498,99.0,99.0,18.923092,0.019475788,0.567125,1.8056622,-77.40576,2.6711445,-79.211426,0.86548233,80.076904
26,348.23574745489276,21.52216570530169,10402800061473,21.341757,0.07339254,20.448837,0.054997195,99.0,99.0,99.0,99.0,0.736499,0.89291954,-77.65824,-77.65824,-78.55116,-78.55116,0.0
28,349.75456223050986,20.507094608206202,10402800075329,21.730507,0.06608379,19.979599,0.030318365,99.0,99.0,19.098236,0.029178275,0.4537,1.7509079,-77.26949,2.6322708,-79.0204,0.8813629,79.901764
29,349.2440080174853,20.19157651557775,10402800038145,21.32449,0.030716991,21.138836,0.07053096,99.0,99.0,99.0,99.0,1.26127,0.18565369,-77.67551,-77.67551,-77.86116,-77.86116,0.0
30,348.5997433080145,21.76612555570985,10402800040196,20.765625,0.052026287,19.484793,0.023994615,99.0,99.0,18.743202,0.023636363,0.522879,1.2808323,-78.234375,2.0224228,-79.515205,0.7415905,80.2568
31,349.78484799004855,20.960085052585228,10402800077382,21.08317,0.038172875,19.75808,0.026715368,99.0,99.0,18.841751,0.019451318,0.33127,1.3250904,-77.91683,2.2414188,-79.24192,0.91632843,80.15825
32,348.81219814235715,20.692322422705914,10402800091212,22.26224,0.11017429,20.520264,0.037395675,99.0,99.0,19.304432,0.030453838,0.519003,1.7419758,-76.73776,2.9578075,-78.47974,1.2158318,79.69557
33,348.21578833840044,20.74250348980513,10402800025780,21.696009,0.06570565,19.757343,0.019847073,99.0,99.0,18.649014,0.013848485,0.514553,1.9386654,-77.30399,3.0469952,-79.24266,1.1083298,80.35098
34,349.11285366288575,20.36437720577976,10402800080886,22.268528,0.08806932,19.745022,0.03455544,99.0,99.0,19.546816,0.04942013,0.589384,2.5235062,-76.731476,2.721712,-79.254974,0.19820595,79.453186
35,348.6857406870922,20.79308216768132,10402800024677,21.844528,0.08901813,20.31436,0.05162513,99.0,99.0,19.15935,0.03501603,0.640578,1.5301685,-77.15547,2.6851788,-78.68564,1.1550102,79.84065
38,348.14429254627805,21.383220033987058,10402800022910,21.88395,0.0718063,20.324274,0.034328643,99.0,99.0,19.224812,0.019916467,0.566845,1.5596752,-77.11605,2.6591377,-78.67573,1.0994625,79.77519
39,348.1551891869401,20.547592067218687,10402800116492,19.042221,0.013826106,17.870506,0.009113311,99.0,99.0,17.162123,0.0069510248,0.220742,1.1717148,-79.95778,1.8800983,-81.12949,0.70838356,81.837875
40,349.1518273940189,19.988226174288585,10402800058941,21.510506,0.065140955,20.316324,0.043599423,99.0,99.0,19.587936,0.038614005,0.512633,1.1941814,-77.489494,1.9225693,-78.68368,0.72838783,79.41206
42,349.1709659648436,20.133293566937667,10402800038024,21.928513,0.07646292,20.986797,0.06332127,99.0,99.0,19.912533,0.054886654,0.771719,0.94171524,-77.07149,2.0159798,-78.0132,1.0742645,79.08746
44,349.18572502118735,20.35678193489916,10402800020231,22.306776,0.094786614,20.953642,0.058865022,99.0,99.0,19.88615,0.05319863,0.530881,1.3531342,-76.69322,2.4206257,-78.04636,1.0674915,79.113846
46,349.700182702899,20.386604722858436,10402800081192,22.917768,0.1345506,20.762346,0.061620053,99.0,99.0,19.180296,0.035396658,0.657879,2.1554222,-76.08223,3.7374725,-78.237656,1.5820503,79.8197
50,348.10295756263173,20.300623515573093,10402800045578,20.455576,0.026024703,18.852192,0.012101837,99.0,99.0,18.041925,0.009244384,0.367485,1.603384,-78.544426,2.4136505,-80.14781,0.8102665,80.95808
51,349.7046099370436,20.536922857089763,10402800108391,19.232721,0.014080692,17.750595,0.008127635,99.0,99.0,17.072495,0.0094585335,0.27598,1.4821262,-79.76728,2.1602268,-81.249405,0.6781006,81.927505
52,348.95183671224964,21.523639174025064,10402800012628,22.322405,0.11237786,99.0,99.0,99.0,99.0,99.0,99.0,0.547406,-76.6776,-76.6776,-76.6776,0.0,0.0,0.0
53,348.7277702192387,21.521341306330598,10402800040841,21.626137,0.090317324,20.039915,0.0373968,99.0,99.0,19.184368,0.031736698,0.34853,1.5862217,-77.37386,2.4417686,-78.96008,0.85554695,79.81563
54,348.9421228834527,20.70109529983796,10402800049004,21.975182,0.07595136,20.121832,0.029237526,99.0,99.0,19.084238,0.025096852,0.666031,1.8533497,-77.02482,2.8909435,-78.87817,1.0375938,79.915764
56,349.1819330976935,21.180368229654405,10402800086328,22.15922,0.08578245,20.537235,0.03932907,99.0,99.0,19.407227,0.037254807,0.608829,1.6219845,-76.84078,2.7519932,-78.46277,1.1300087,79.59277
57,348.716475993144,20.166129767410112,10402800037478,22.420324,0.09644082,99.0,99.0,99.0,99.0,19.32947,0.03215198,0.606048,-76.57967,-76.57967,3.0908546,0.0,79.67053,79.67053
58,348.55011470587505,19.9119494229774,10402800058041,21.93094,0.082872584,19.800882,0.025861835,99.0,99.0,18.665222,0.021383742,0.523634,2.1300583,-77.06906,3.2657185,-79.19912,1.1356602,80.33478
59,348.13193504218515,20.891458479178326,10402800042233,22.002941,0.082460456,20.001266,0.03547307,99.0,99.0,18.838951,0.020678654,0.578859,2.0016747,-76.997055,3.16399,-78.99873,1.1623154,80.16105
60,349.1830544399757,19.873759558470667,10402800082162,22.08525,0.07519346,20.20662,0.0391724,99.0,99.0,19.1502,0.029908963,0.501003,1.8786316,-76.91475,2.935051,-78.79338,1.0564194,79.8498
62,348.9940137500343,20.792888474473898,10402800033690,22.1248,0.09720544,20.003693,0.04096721,99.0,99.0,18.86479,0.03154289,0.515273,2.121107,-76.8752,3.2600098,-78.99631,1.1389027,80.13521
63,349.0410929782391,20.161090373684445,10402800057123,20.291939,0.01178188,19.915018,0.01688669,99.0,99.0,19.748018,0.033052467,0.593188,0.3769207,-78.70806,0.5439205,-79.084984,0.16699982,79.25198
64,348.15079862658075,20.058373492782692,10402800030554,20.567144,0.027869895,18.963,0.013704392,99.0,99.0,18.142496,0.011394883,0.399781,1.604145,-78.43285,2.4246483,-80.037,0.82050323,80.857506
65,349.39332862506785,21.246863553244353,10402800041722,20.033468,0.02372899,18.293083,0.00941144,99.0,99.0,17.54926,0.0112728495,0.349468,1.740385,-78.96653,2.484209,-80.70692,0.743824,81.450745
66,348.4746937839044,20.796083750137285,10402800125382,22.464613,0.1323518,20.912992,0.07299905,99.0,99.0,19.410381,0.03044597,0.677922,1.5516205,-76.535385,3.0542316,-78.087006,1.5026112,79.589615
